data,nivel,devices
2026-01-01,Aprendiz,15
2026-01-01,Empreendedor,1
2026-01-01,Especialista,14
2026-01-01,Top Empreendedor,12
2026-01-02,Aprendiz,158
2026-01-02,Empreendedor,43
2026-01-02,Especialista,49
2026-01-02,Top Empreendedor,838
2026-01-03,Aprendiz,58
2026-01-03,Empreendedor,18
2026-01-03,Especialista,14
2026-01-03,Top Empreendedor,679
2026-01-04,Aprendiz,58
2026-01-04,Empreendedor,31
2026-01-04,Especialista,12
2026-01-04,Top Empreendedor,5
2026-01-05,Aprendiz,209
2026-01-05,Empreendedor,163
2026-01-05,Especialista,81
2026-01-05,Top Empreendedor,475
2026-01-06,Aprendiz,238
2026-01-06,Empreendedor,81
2026-01-06,Especialista,68
2026-01-06,Top Empreendedor,101
2026-01-07,Aprendiz,145
2026-01-07,Empreendedor,28
2026-01-07,Especialista,68
2026-01-07,Top Empreendedor,116
2026-01-08,Aprendiz,148
2026-01-08,Empreendedor,174
2026-01-08,Especialista,87
2026-01-08,Top Empreendedor,94
2026-01-09,Aprendiz,110
2026-01-09,Empreendedor,48
2026-01-09,Especialista,101
2026-01-09,Top Empreendedor,106
2026-01-10,Aprendiz,63
2026-01-10,Empreendedor,34
2026-01-10,Especialista,23
2026-01-10,Top Empreendedor,84
2026-01-11,Aprendiz,107
2026-01-11,Empreendedor,13
2026-01-11,Especialista,4
2026-01-11,Top Empreendedor,2
2026-01-12,Aprendiz,135
2026-01-12,Empreendedor,38
2026-01-12,Especialista,81
2026-01-12,Top Empreendedor,131
2026-01-13,Aprendiz,159
2026-01-13,Empreendedor,43
2026-01-13,Especialista,121
2026-01-13,Top Empreendedor,28
2026-01-14,Aprendiz,135
2026-01-14,Empreendedor,39
2026-01-14,Especialista,84
2026-01-14,Top Empreendedor,128
2026-01-15,Aprendiz,104
2026-01-15,Empreendedor,35
2026-01-15,Especialista,47
2026-01-15,Top Empreendedor,22
2026-01-16,Aprendiz,108
2026-01-16,Empreendedor,35
2026-01-16,Especialista,79
2026-01-16,Top Empreendedor,47
2026-01-17,Aprendiz,62
2026-01-17,Empreendedor,33
2026-01-17,Especialista,32
2026-01-17,Top Empreendedor,12
2026-01-18,Aprendiz,13
2026-01-18,Empreendedor,1
2026-01-18,Especialista,10
2026-01-18,Top Empreendedor,34
2026-01-19,Aprendiz,130
2026-01-19,Empreendedor,50
2026-01-19,Especialista,44
2026-01-19,Top Empreendedor,45
2026-01-20,Aprendiz,168
2026-01-20,Empreendedor,15
2026-01-20,Especialista,16
2026-01-20,Top Empreendedor,52
2026-01-21,Aprendiz,139
2026-01-21,Empreendedor,35
2026-01-21,Especialista,36
2026-01-21,Top Empreendedor,45
2026-01-22,Aprendiz,78
2026-01-22,Empreendedor,50
2026-01-22,Especialista,24
2026-01-22,Top Empreendedor,108
2026-01-23,Aprendiz,68
2026-01-23,Empreendedor,25
2026-01-23,Especialista,77
2026-01-23,Top Empreendedor,23
2026-01-24,Aprendiz,82
2026-01-24,Especialista,18
2026-01-24,Top Empreendedor,37
2026-01-25,Aprendiz,52
2026-01-25,Empreendedor,14
2026-01-25,Especialista,14
2026-01-25,Top Empreendedor,14
2026-01-26,Aprendiz,87
2026-01-26,Empreendedor,14
2026-01-26,Especialista,28
2026-01-26,Top Empreendedor,65
2026-01-27,Aprendiz,110
2026-01-27,Empreendedor,139
2026-01-27,Especialista,37
2026-01-27,Top Empreendedor,195
2026-01-28,Aprendiz,81
2026-01-28,Empreendedor,60
2026-01-28,Especialista,10
2026-01-28,Top Empreendedor,37
2026-01-29,Aprendiz,57
2026-01-29,Empreendedor,57
2026-01-29,Especialista,64
2026-01-29,Top Empreendedor,54
2026-01-30,Aprendiz,78
2026-01-30,Empreendedor,23
2026-01-30,Especialista,37
2026-01-30,Top Empreendedor,44
2026-01-31,Aprendiz,47
2026-01-31,Empreendedor,9
2026-01-31,Especialista,49
2026-01-31,Top Empreendedor,20
2026-02-01,Aprendiz,40
2026-02-01,Top Empreendedor,35
2026-02-02,Aprendiz,177
2026-02-02,Empreendedor,30
2026-02-02,Especialista,58
2026-02-02,Top Empreendedor,43
2026-02-03,Aprendiz,198
2026-02-03,Empreendedor,28
2026-02-03,Especialista,58
2026-02-03,Top Empreendedor,10
2026-02-04,Aprendiz,97
2026-02-04,Empreendedor,59
2026-02-04,Especialista,40
2026-02-04,Top Empreendedor,69
2026-02-05,Aprendiz,101
2026-02-05,Empreendedor,135
2026-02-05,Especialista,101
2026-02-05,Top Empreendedor,131
2026-02-06,Aprendiz,102
2026-02-06,Empreendedor,133
2026-02-06,Especialista,109
2026-02-06,Top Empreendedor,194
2026-02-07,Aprendiz,72
2026-02-07,Empreendedor,41
2026-02-07,Especialista,138
2026-02-07,Top Empreendedor,169
2026-02-08,Aprendiz,6
2026-02-08,Empreendedor,2
2026-02-08,Especialista,5
2026-02-08,Top Empreendedor,5
2026-02-09,Aprendiz,69
2026-02-09,Empreendedor,159
2026-02-09,Especialista,166
2026-02-09,Top Empreendedor,363
2026-02-10,Aprendiz,163
2026-02-10,Empreendedor,19
2026-02-10,Especialista,39
2026-02-10,Top Empreendedor,62
2026-02-11,Aprendiz,100
2026-02-11,Empreendedor,19
2026-02-11,Especialista,85
2026-02-11,Top Empreendedor,77
2026-02-12,Aprendiz,131
2026-02-12,Empreendedor,77
2026-02-12,Especialista,57
2026-02-12,Top Empreendedor,38
2026-02-13,Aprendiz,99
2026-02-13,Empreendedor,4
2026-02-13,Especialista,74
2026-02-13,Top Empreendedor,86
2026-02-14,Aprendiz,117
2026-02-14,Empreendedor,8
2026-02-14,Especialista,47
2026-02-14,Top Empreendedor,45
2026-02-15,Aprendiz,33
2026-02-15,Empreendedor,14
2026-02-15,Especialista,8
2026-02-15,Top Empreendedor,22
2026-02-16,Aprendiz,37
2026-02-16,Empreendedor,7
2026-02-16,Especialista,51
2026-02-16,Top Empreendedor,10
2026-02-17,Aprendiz,28
2026-02-17,Empreendedor,1
2026-02-17,Especialista,1
2026-02-17,Top Empreendedor,4
